ParentSmiles,Status Influx,Status Efflux,Status PAMPA,Status BBB,Status CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,Testrain Influx,Testrain PAMPA,Testin CNS,Testain BBB,Testrain Efflux,Efflux Prediction Properties,Efflux Probability Properties,PAMPA Prediction Properties,PAMPA Probability Properties,BBB Prediction Properties,BBB Probability Properties,CNS Prediction Properties,CNS Probability Properties,Influx Prediction Properties,Influx Probability Properties,Efflux Prediction Fingerprints,Efflux Probability Fingerprints,PAMPA Prediction Fingerprints,PAMPA Probability Fingerprints,BBB Prediction Fingerprints,BBB Probability Fingerprints,CNS Prediction Fingerprints,CNS Probability Fingerprints,Influx Prediction Fingerprints,Influx Probability Fingerprints
NC(=O)NO,1.0,0.0,NaN,1.0,0.0,-1.36,75.35,0.55,-1.54,2,3,76.027277368,0,Train,NaN,Train,Train,Train,0,0.04436070844531059,0,0.057471033185720444,1,0.9745221734046936,0,0.01916821487247944,1,0.9374017119407654,0,0.07238032668828964,0,0.046721942722797394,1,0.9443591237068176,0,0.05521988496184349,1,0.8932317495346069
CCC(Cc1c(I)cc(I)c(NC(=O)CCCCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)c1I)C(=O)O,1.0,NaN,NaN,NaN,NaN,1.37,254.42,-0.03,-3.41,10,7,1059.0120658480002,27,Train,NaN,NaN,NaN,NaN,1,0.951478898525238,0,0.03576524928212166,0,0.001872838125564158,0,0.0009209926356561482,1,0.9035937190055847,1,0.9587702751159668,1,0.5186391472816467,0,0.15222874283790588,0,0.0007028080872260034,1,0.9611260294914246
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,1.0,1.0,NaN,NaN,0.0,2.78,140.42000000000002,-4.09,3.26,8,3,547.2352215239998,11,Test,NaN,Train,NaN,Train,1,0.9509243965148926,1,0.9941490888595581,1,0.9706148505210876,0,0.001521894009783864,0,0.011152071878314018,1,0.9964185953140259,1,0.9266571998596191,1,0.7787693738937378,0,0.00128937978297472,0,0.0334317721426487
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1.0,0.0,0.0,NaN,0.0,-0.79,85.77,-2.52,-2.83,6,2,320.12846862400005,3,Train,Train,Train,NaN,Train,0,0.20231428742408752,0,0.0030030321795493364,0,0.004771559499204159,0,0.01136686746031046,1,0.9292443990707397,0,0.11543156951665878,0,0.027338119223713875,0,0.021264052018523216,0,0.008926890790462494,1,0.9751564860343933
COc1c(N2CCNC(C)C2)c(F)cc2c1n(C1CC1)cc(C(=O)O)c2=O,1.0,NaN,NaN,NaN,NaN,-0.08,82.11,-3.38,-2.26,6,2,375.159434404,4,Train,NaN,NaN,NaN,NaN,1,0.9270862936973572,0,0.01481151208281517,0,0.03249062970280647,0,0.0008086906746029854,1,0.9674281477928162,1,0.9873425960540771,0,0.33116427063941956,0,0.17241190373897552,0,0.004753595683723688,1,0.9546360969543457
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1.0,1.0,0.0,NaN,0.0,-0.81,72.88,-2.64,-3.04,5,2,319.133219656,3,Test,Train,Train,NaN,Train,1,0.950171172618866,0,0.0019489848054945469,0,0.012867975048720837,0,0.006569702178239822,0,0.3474627137184143,1,0.9246276021003723,0,0.022646348923444748,0,0.03661243990063667,0,0.026322072371840477,1,0.8771900534629822
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,1.0,NaN,NaN,NaN,NaN,2.87,95.58,-1.33,0.85,4,4,328.17869262799996,8,Train,NaN,NaN,NaN,NaN,1,0.9406777620315552,1,0.714120626449585,0,0.43810945749282837,0,0.0067744688130915165,1,0.9538723230361938,1,0.886745035648346,0,0.1780148297548294,0,0.04368733614683151,0,0.020104190334677696,1,0.9722771644592285
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,1.0,1.0,NaN,NaN,NaN,1.22,81.95,0.51,-0.86,5,4,309.194008344,5,Test,NaN,NaN,NaN,Test,0,0.4457681179046631,0,0.007103292737156153,0,0.09339097887277603,0,0.01778506301343441,1,0.9670785665512085,1,0.6838246583938599,1,0.9142357707023621,1,0.5719127058982849,0,0.027915677055716515,0,0.3918314278125763
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1.0,0.0,NaN,NaN,0.0,0.41,78.43,0.56,-1.54,4,3,272.1194635,6,Train,NaN,Train,NaN,Train,0,0.08756855875253677,0,0.05080249533057213,1,0.8114544153213501,0,0.005364349577575922,1,0.9660688042640686,0,0.07472201436758041,0,0.4164968430995941,1,0.9727318286895752,0,0.014746996574103832,1,0.9358238577842712
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,1.0,1.0,NaN,NaN,0.0,2.02,97.99,-0.98,-0.36,4,4,408.2875743799999,4,Train,NaN,Train,NaN,Train,1,0.8782132863998413,0,0.01354445144534111,0,0.003436458995565772,0,0.000658321485389024,1,0.9850198030471802,1,0.9256599545478821,1,0.7915632128715515,0,0.3909955620765686,0,0.0004411755071487278,1,0.9486564993858337
